,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
369,Maceio,BR,-9.67,-35.74,73.4,88,75,2.24,broken clouds
370,Grindavik,IS,63.84,-22.43,39.2,93,20,11.41,few clouds
371,Bremerton,US,47.57,-122.63,61.0,82,1,4.7,clear sky
372,Ransang,PH,8.96,117.58,86.09,68,12,6.33,few clouds
373,Tarauaca,BR,-8.16,-70.77,74.98,74,71,2.66,broken clouds
374,Taltal,CL,-25.4,-70.48,58.03,69,14,3.24,few clouds
375,Awbari,LY,26.59,12.78,72.54,26,0,3.15,clear sky
376,Moranbah,AU,-22.0,148.05,89.24,23,52,17.94,broken clouds
377,Tevaitoa,PF,-16.78,-151.5,79.86,77,8,21.65,clear sky
378,Egvekinot,RU,66.32,-179.17,34.14,89,100,12.62,overcast clouds
379,Rayagada,IN,19.17,83.42,83.7,64,100,3.47,overcast clouds
380,Altamont,US,42.21,-121.74,62.6,42,1,4.7,clear sky
381,Sovetskiy,RU,61.36,63.58,51.91,77,69,8.93,broken clouds
382,Monterey,US,36.25,-121.25,78.8,31,90,9.17,haze
383,Hami,CN,42.8,93.45,60.21,27,93,10.8,overcast clouds
384,Ancud,CL,-41.87,-73.82,36.0,80,25,2.24,scattered clouds
385,Sabratah,LY,32.79,12.49,78.04,64,90,3.0,overcast clouds
386,Manga,BF,11.66,-1.07,71.76,97,49,6.29,scattered clouds
387,Mindelo,CV,16.89,-24.98,77.79,82,39,15.95,scattered clouds
388,Ryotsu,JP,38.08,138.43,75.2,53,30,5.82,scattered clouds
389,Mananjary,MG,-21.22,48.33,77.07,76,43,2.28,scattered clouds
390,Usinsk,RU,65.99,57.53,46.17,89,99,16.02,overcast clouds
391,Lokosovo,RU,61.13,74.82,48.78,81,90,8.72,overcast clouds
392,Canaries,ES,28.0,-15.5,71.6,73,40,17.22,scattered clouds
393,Kahului,US,20.89,-156.47,82.4,74,75,6.93,broken clouds
394,Kushima,JP,31.46,131.23,78.8,65,20,8.05,few clouds
395,Batticaloa,LK,7.71,81.69,86.05,53,100,2.8,overcast clouds
396,Aras,ES,42.56,-2.36,59.0,82,75,4.7,light rain
397,Torbay,CA,47.67,-52.73,60.01,100,90,8.05,overcast clouds
398,Roald,NO,62.58,6.13,60.8,55,71,16.11,light rain
399,Vitim,RU,59.45,112.56,41.25,59,9,3.18,clear sky
400,Antalaha,MG,-14.9,50.28,76.8,71,43,4.25,scattered clouds
401,Warrnambool,AU,-38.38,142.48,78.01,52,0,8.01,clear sky
402,Codrington,AU,-38.27,141.97,73.69,67,0,14.76,clear sky
403,Catuday,PH,16.29,119.81,84.07,76,98,9.37,overcast clouds
404,Margate,GB,51.38,1.39,60.01,85,100,5.01,light rain
405,Sabalgarh,IN,26.25,77.4,91.26,29,0,6.22,clear sky
406,Blagoyevo,RU,63.37,47.92,47.34,90,91,3.58,overcast clouds
407,Lashio,MM,22.93,97.75,84.11,65,87,2.08,overcast clouds
408,Husavik,IS,66.04,-17.34,24.8,92,49,3.36,scattered clouds
409,Manyana,BW,-23.4,21.72,47.52,49,0,10.36,clear sky
410,Taybad,IR,34.74,60.78,67.91,22,0,8.19,clear sky
411,Bilibino,RU,68.05,166.44,30.94,91,79,1.41,broken clouds
412,Barkhera,IN,28.45,79.8,86.23,54,0,2.93,clear sky
413,Olafsvik,IS,64.89,-23.71,43.16,72,62,15.61,broken clouds
414,Matara,LK,5.95,80.54,84.99,67,85,13.06,overcast clouds
415,Koriyama,JP,37.4,140.38,73.0,49,20,5.82,few clouds
416,Tura,IN,25.52,90.22,84.33,85,86,0.51,overcast clouds
417,Moerai,PF,-22.43,-151.33,75.49,85,84,13.47,broken clouds
418,Meulaboh,ID,4.14,96.13,83.61,73,93,7.99,overcast clouds
419,Burnie,AU,-41.07,145.92,66.0,51,39,11.01,scattered clouds
420,Yar-Sale,RU,66.83,70.83,47.34,85,94,13.65,overcast clouds
421,Salinopolis,BR,-0.61,-47.36,78.15,84,89,10.31,overcast clouds
422,Awjilah,LY,29.11,21.29,76.01,42,0,7.4,clear sky
423,Naze,JP,28.37,129.48,82.4,65,75,13.87,broken clouds
424,Butka,RU,56.72,63.79,52.93,80,99,7.38,overcast clouds
425,Moree,AU,-29.47,149.85,84.2,25,0,11.41,clear sky
426,Hohhot,CN,40.81,111.65,53.6,23,2,4.47,clear sky
427,Mossendjo,CG,-2.95,12.73,68.52,95,100,2.04,overcast clouds
428,Tiznit,MA,29.58,-9.5,62.78,81,10,1.01,clear sky
429,Yomou,GN,7.56,-9.27,69.6,99,100,4.27,overcast clouds
430,Taikang,CN,46.83,124.42,58.75,53,77,13.09,light rain
431,Sobolevo,RU,54.43,31.9,49.32,64,77,12.17,broken clouds
432,Lahij,YE,13.17,44.58,78.37,77,52,7.47,broken clouds
433,Barquisimeto,VE,10.07,-69.32,70.66,88,99,3.74,overcast clouds
434,Rumonge,BI,-3.97,29.44,76.08,58,11,3.15,few clouds
435,Manaus,BR,-3.1,-60.02,77.0,83,75,5.82,heavy intensity rain
436,Kandrian,PG,-6.22,149.55,74.55,94,100,5.77,very heavy rain
437,Krasnoufimsk,RU,56.61,57.77,52.54,71,52,2.04,broken clouds
438,Wyndham,US,37.7,-77.61,60.8,77,90,5.82,overcast clouds
439,Sterling,US,39.01,-77.43,57.99,93,90,1.25,light rain
440,Mareeba,AU,-17.0,145.43,86.0,43,9,7.0,clear sky
441,Paraisopolis,BR,-22.55,-45.78,73.99,66,32,0.65,scattered clouds
442,Adilcevaz,TR,38.8,42.73,53.6,58,40,3.36,scattered clouds
443,Camacha,PT,33.08,-16.33,68.0,88,75,9.17,broken clouds
444,Ngunguru,NZ,-35.62,174.5,61.0,65,72,5.99,broken clouds
445,Ereymentau,KZ,51.62,73.1,49.75,62,57,2.24,broken clouds
446,Kenai,US,60.55,-151.26,52.0,66,90,10.29,overcast clouds
447,Ginir,ET,7.13,40.7,64.33,73,55,0.89,broken clouds
448,Hobyo,SO,5.35,48.53,80.76,73,9,15.19,clear sky
449,Vila,PT,42.03,-8.16,54.0,95,100,14.0,overcast clouds
450,Shihezi,CN,44.3,86.03,60.6,30,0,9.51,clear sky
451,Nuuk,GL,64.18,-51.72,44.6,56,100,13.87,moderate rain
452,Pleasanton,US,37.66,-121.87,75.99,45,0,3.13,clear sky
453,Kilindoni,TZ,-7.91,39.67,78.44,77,67,7.23,broken clouds
454,Rongcheng,CN,30.63,117.85,81.0,86,12,3.49,few clouds
455,Kingman,US,35.19,-114.05,80.01,10,1,10.29,clear sky
456,Esna,EG,25.29,32.55,80.6,47,0,4.7,clear sky
457,Kosh-Agach,RU,50.0,88.67,33.24,74,74,1.39,broken clouds
458,Sardarshahr,IN,28.43,74.48,94.55,11,0,9.26,clear sky
459,Mehamn,NO,71.04,27.85,41.0,93,75,3.36,broken clouds
460,Huescar,ES,37.81,-2.54,59.0,81,100,3.0,overcast clouds
461,Leshukonskoye,RU,64.9,45.76,44.83,90,57,6.22,broken clouds
462,Leningradskiy,RU,69.38,178.42,34.86,94,100,21.68,light rain
463,Taonan,CN,45.33,122.78,58.12,51,24,14.94,few clouds
464,Mazyr,BY,52.05,29.25,54.18,71,87,11.01,overcast clouds
465,Sangar,RU,63.92,127.47,37.94,70,0,4.68,clear sky
466,Orlik,RU,52.52,99.83,30.67,73,99,5.91,overcast clouds
467,Zhigansk,RU,66.77,123.37,35.33,79,91,15.86,overcast clouds
468,Kuito,AO,-12.38,16.93,61.92,77,33,1.9,light rain
469,Caconda,AO,-13.73,15.07,58.41,94,85,2.91,overcast clouds
470,Yaan,NG,7.38,8.57,71.69,99,99,4.59,moderate rain
471,Aksu,CN,41.12,80.26,65.89,23,100,4.23,overcast clouds
472,Linjiang,CN,41.81,126.91,65.07,44,6,12.37,clear sky
473,Truro,GB,50.27,-5.05,48.2,93,100,8.05,light rain
474,Andrews,US,32.32,-102.55,62.6,36,1,10.29,clear sky
475,Amga,RU,60.9,131.96,42.44,57,20,3.06,few clouds
476,Zhengjiatun,CN,43.51,123.51,62.1,45,0,17.38,clear sky
477,Mansfield,GB,53.13,-1.2,48.0,93,91,1.01,overcast clouds
478,Krasnoselkup,RU,65.7,82.47,45.21,84,100,11.88,overcast clouds
479,Jalu,LY,29.03,21.55,76.33,41,0,7.4,clear sky
480,Aranos,NA,-24.13,19.12,40.39,71,0,6.42,clear sky
481,Auki,SB,-8.77,160.7,84.25,62,29,3.22,scattered clouds
482,Sampit,ID,-2.53,112.95,92.89,51,38,4.14,scattered clouds
483,Itoigawa,JP,37.03,137.85,81.0,45,12,1.01,few clouds
484,Salalah,OM,17.02,54.09,78.8,74,3,4.7,clear sky
485,Bendigo,AU,-36.77,144.28,75.92,51,0,10.71,clear sky
486,Letterkenny,IE,54.95,-7.73,45.46,90,83,7.05,light rain
487,Mascote,BR,-15.56,-39.3,66.67,97,70,0.92,broken clouds
488,Mandalgovi,MN,45.76,106.27,42.67,55,98,15.86,overcast clouds
489,Divo,CI,5.84,-5.36,71.56,99,100,3.74,overcast clouds
490,Innisfail,AU,-17.53,146.03,75.99,46,33,18.01,scattered clouds
491,Clevelandia,BR,-26.4,-52.47,69.31,52,23,4.16,few clouds
492,Svetlaya,RU,46.54,138.33,57.78,68,96,7.58,overcast clouds
493,Leh,IN,34.17,77.58,48.69,37,0,4.74,clear sky
494,Geraldton,AU,-28.77,114.6,73.4,53,40,13.87,light rain
495,Gongzhuling,CN,43.5,124.82,58.89,54,15,18.16,few clouds
496,Wukari,NG,7.85,9.78,72.63,95,98,3.62,moderate rain
497,Buchanan,LR,5.88,-10.05,76.78,89,98,7.87,moderate rain
498,Ilheus,BR,-14.79,-39.05,71.35,89,70,3.06,broken clouds
499,Bata,GQ,1.86,9.77,75.4,88,82,6.44,broken clouds
500,Rovaniemi,FI,66.5,25.72,48.2,100,75,4.7,broken clouds
501,Urumqi,CN,43.8,87.6,55.4,30,6,6.71,clear sky
502,Shingu,JP,33.73,135.98,77.0,65,20,3.36,few clouds
503,Nagorsk,RU,59.32,50.81,50.83,89,50,3.98,scattered clouds
504,Ekhabi,RU,53.51,142.97,51.6,69,30,6.04,scattered clouds
505,Neyshabur,IR,36.21,58.8,61.57,30,0,2.57,clear sky
506,Kapuskasing,CA,49.42,-82.43,35.6,97,90,6.93,overcast clouds
507,Bosaso,SO,11.28,49.18,86.0,66,20,4.7,few clouds
508,Mahuva,IN,21.09,71.76,85.98,65,94,7.25,overcast clouds
509,Emerald,AU,-23.53,148.17,90.0,24,0,5.82,clear sky
510,Saint-Louis,SN,16.33,-15.0,89.6,23,0,8.25,clear sky
511,Jumla,NP,29.27,82.18,63.0,95,0,4.45,clear sky
512,Mahajanga,MG,-15.72,46.32,78.8,83,20,4.7,few clouds
513,Xucheng,CN,20.35,110.13,86.0,84,40,4.47,moderate rain
514,Kralendijk,BQ,12.15,-68.27,82.4,83,100,10.29,overcast clouds
515,Miranda,CO,3.25,-76.23,72.0,53,67,3.98,light rain
516,Wattegama,LK,6.8,81.48,94.19,34,63,7.02,broken clouds
517,Ornskoldsvik,SE,63.29,18.72,46.4,100,90,8.05,mist
518,Havelock,US,34.88,-76.9,70.0,87,20,5.14,few clouds
519,Kodinsk,RU,58.69,99.18,39.97,70,30,4.07,scattered clouds
520,Konyshevka,RU,51.84,35.29,57.2,41,100,17.9,moderate rain
521,Mitsamiouli,KM,-11.38,43.28,79.2,78,61,12.03,broken clouds
522,Tete,MZ,-16.16,33.59,75.2,64,12,3.36,mist
523,Sibu,MY,2.3,111.82,89.6,62,40,4.7,scattered clouds
524,Kasongo,CD,-4.45,26.67,69.98,87,69,2.73,broken clouds
525,Mata,PT,40.68,-7.46,61.0,92,100,17.0,moderate rain
526,Malakal,SS,9.53,31.66,74.21,87,3,2.55,clear sky
527,Takestan,IR,36.07,49.7,62.6,39,1,4.7,clear sky
528,Murud,IN,18.33,72.97,81.93,78,100,1.57,overcast clouds
529,Luderitz,NA,-26.65,15.16,51.31,74,1,4.79,clear sky
530,Lianran,CN,24.92,102.48,79.0,82,40,15.66,scattered clouds
531,Ahipara,NZ,-35.17,173.17,59.81,64,97,4.83,overcast clouds
532,Erenhot,CN,43.65,111.98,48.85,42,0,15.82,clear sky
533,Huallanca,PE,-9.9,-76.94,44.62,75,57,2.84,broken clouds
534,Vanimo,PG,-2.67,141.3,79.66,80,99,14.81,overcast clouds
535,Beni,CD,0.5,29.47,63.84,99,10,1.23,clear sky
536,Launceston,AU,-41.45,147.17,63.0,63,75,26.4,broken clouds
537,Igarka,RU,67.47,86.58,40.35,95,100,10.27,light rain
538,Denpasar,ID,-8.65,115.22,87.8,79,20,14.99,few clouds
539,Bereda,ES,43.27,-7.54,52.0,100,97,8.01,overcast clouds
540,Hambantota,LK,6.12,81.12,87.03,59,54,20.04,broken clouds
541,Baherden,TM,38.44,57.43,65.64,25,0,2.8,clear sky
542,Turukhansk,RU,65.82,87.98,40.3,97,100,13.47,overcast clouds
543,Guatire,VE,10.48,-66.54,77.0,94,75,2.24,broken clouds
544,Macapa,BR,0.04,-51.07,80.6,88,20,3.36,few clouds
545,Batouri,CM,4.43,14.37,65.7,97,100,1.3,overcast clouds
546,Shahdadkot,PK,27.85,67.91,96.26,12,0,3.36,clear sky
547,Ziro,IN,27.63,93.83,86.0,79,75,5.82,broken clouds
548,Qasigiannguit,GL,68.82,-51.19,35.6,69,100,9.17,overcast clouds
549,Xining,CN,36.62,101.77,55.74,39,28,4.16,scattered clouds
550,Trelew,AR,-43.25,-65.31,37.36,74,45,13.38,scattered clouds
551,Rabaul,PG,-4.2,152.17,79.16,62,100,1.63,overcast clouds
552,Harnai,PK,30.1,67.94,84.22,12,0,3.83,clear sky
553,Batesville,US,35.77,-91.64,54.0,58,1,3.36,clear sky
554,Mazatlan,MX,23.22,-106.42,86.0,83,20,7.92,few clouds
555,Monrovia,LR,6.3,-10.8,77.41,88,100,9.35,light rain
556,Bonavista,CA,48.65,-53.11,59.0,78,97,5.99,overcast clouds
557,Chumikan,RU,54.72,135.31,52.21,67,48,11.23,scattered clouds
558,Venice,US,27.1,-82.45,78.01,83,90,11.41,overcast clouds
559,Nouadhibou,MR,20.93,-17.03,71.6,78,0,19.46,clear sky
560,Chaplynka,UA,46.37,33.54,61.97,77,65,10.11,light rain
561,Weligama,LK,5.97,80.42,84.33,69,91,12.68,overcast clouds
562,Shache,CN,38.42,77.24,67.77,23,1,9.53,clear sky
563,Lar,IN,26.2,83.97,88.83,53,27,2.53,scattered clouds
564,Chumphon,TH,10.33,98.83,86.0,74,40,8.05,scattered clouds
565,Oranjestad,AW,12.52,-70.03,82.4,78,20,10.29,few clouds
566,Lubaczow,PL,50.16,23.12,54.0,98,100,5.01,light rain
567,Zlitan,LY,32.47,14.57,80.87,39,86,5.17,overcast clouds
568,Palmer,US,42.16,-72.33,53.01,93,75,0.54,broken clouds
569,Astoria,US,46.19,-123.83,59.0,100,90,3.36,mist
570,Karabulak,RU,43.3,44.9,51.8,87,81,2.24,broken clouds
571,Phalodi,IN,27.13,72.37,94.28,30,0,10.42,clear sky
572,Gillette,US,44.29,-105.5,48.99,52,1,3.36,clear sky
573,Costinesti,RO,43.95,28.63,51.8,71,20,4.7,few clouds
574,Ugoofaaru,MV,5.67,73.0,82.36,73,42,10.07,scattered clouds
575,Mkushi,ZM,-13.62,29.39,70.57,40,13,7.67,few clouds
576,Bonthe,SL,7.53,-12.51,76.77,90,99,5.01,overcast clouds
577,Guiyang,CN,26.58,106.72,69.8,94,90,8.95,overcast clouds
578,Itapage,BR,-3.69,-39.59,72.75,89,63,6.96,broken clouds
579,Gejiu,CN,23.31,103.16,70.05,81,66,5.7,broken clouds
580,Madimba,TZ,-10.4,40.33,73.4,100,20,5.19,few clouds
581,Salamiyah,SY,35.01,37.05,68.16,77,0,5.79,clear sky
582,Laramie,US,41.31,-105.59,48.99,36,1,10.29,clear sky
583,Katete,UG,-0.78,29.75,63.95,89,0,2.04,clear sky
584,Dobson,US,36.4,-80.72,62.6,51,90,3.36,overcast clouds
585,Bilma,NE,18.69,12.92,82.09,16,0,4.07,clear sky
586,Kanniyakumari,IN,8.08,77.57,84.27,64,87,17.69,overcast clouds
587,Okhotsk,RU,59.38,143.3,52.84,54,44,4.03,scattered clouds
588,Esperantinopolis,BR,-4.87,-44.71,76.46,74,66,4.07,broken clouds
589,Shelburne,CA,44.08,-80.2,48.99,93,90,4.7,overcast clouds
590,Kargasok,RU,59.06,80.86,49.86,90,93,5.97,overcast clouds
591,Lufilufi,WS,-13.87,-171.6,84.2,79,75,3.36,broken clouds
592,Gikongoro,RW,-2.46,29.57,62.91,75,1,1.83,clear sky
593,Kalabo,ZM,-14.97,22.68,74.7,45,26,2.21,scattered clouds
594,Huarmey,PE,-10.07,-78.15,61.74,85,49,8.72,scattered clouds
595,Hurricane,US,37.18,-113.29,80.6,8,1,4.7,clear sky
596,Shakawe,BW,-18.37,21.85,72.41,45,49,4.47,scattered clouds
