,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Tukrah,LY,32.53,20.58,72.34,60,34,11.81,scattered clouds
322,Namatanai,PG,-3.67,152.43,81.0,73,100,4.45,overcast clouds
323,Giehun,SL,7.88,-11.05,71.94,98,100,1.97,overcast clouds
324,Merauke,ID,-8.47,140.33,84.63,58,28,23.22,scattered clouds
325,Palmerston,AU,-12.49,130.98,95.0,46,75,10.29,broken clouds
326,Kaeo,NZ,-35.1,173.78,61.0,65,84,5.99,broken clouds
327,Champerico,GT,14.3,-91.92,66.0,96,100,3.36,overcast clouds
328,Bahar,IR,34.91,48.44,53.6,66,40,2.1,scattered clouds
329,Kaseda,JP,31.42,130.32,78.8,50,20,4.7,few clouds
330,Saravan,AM,39.72,45.65,60.8,63,20,13.87,few clouds
331,Belmonte,BR,-15.86,-38.88,71.6,88,40,2.24,scattered clouds
332,Ankazoabo,MG,-22.28,44.52,79.84,37,0,6.17,clear sky
333,Sarangani,PH,5.4,125.46,84.58,71,93,12.26,overcast clouds
334,Yazman,PK,29.12,71.74,93.79,14,0,5.93,clear sky
335,Tripoli,LY,32.88,13.19,80.11,65,70,6.69,broken clouds
336,Khorostkiv,UA,49.21,25.92,54.0,92,94,5.99,overcast clouds
337,Sembakung,ID,3.82,117.25,88.7,65,47,4.99,moderate rain
338,Laon,FR,49.57,3.67,51.8,93,100,8.05,overcast clouds
339,Senno,RU,59.53,33.92,46.72,78,58,6.98,broken clouds
340,Kernersville,US,36.12,-80.07,63.0,72,90,8.05,overcast clouds
341,Copoya,MX,16.72,-93.08,71.6,78,75,20.8,drizzle
342,Willmar,US,45.12,-95.04,37.4,84,1,6.6,clear sky
343,Bara,NG,10.37,10.73,71.56,87,98,7.38,overcast clouds
344,Itarantim,BR,-15.66,-40.07,67.46,93,98,2.17,overcast clouds
345,Samarai,PG,-10.62,150.67,78.76,84,96,20.15,light rain
346,Ratlam,IN,23.32,75.07,83.17,63,0,7.65,clear sky
347,Bathsheba,BB,13.22,-59.52,82.4,78,20,14.99,few clouds
348,Sioni,GE,41.99,45.02,57.2,93,90,1.23,overcast clouds
349,Nabire,ID,-3.37,135.48,86.13,64,84,6.17,broken clouds
350,Russellville,US,35.28,-93.13,53.01,76,1,3.44,clear sky
351,Bud,US,39.45,-86.18,44.01,100,1,6.04,clear sky
352,Omsukchan,RU,62.53,155.8,40.59,60,0,1.3,clear sky
353,Christchurch,NZ,-43.53,172.63,68.0,28,1,14.99,clear sky
354,Wasilla,US,61.58,-149.44,53.6,54,90,6.93,overcast clouds
355,Bowen,AU,-20.02,148.23,80.6,54,88,18.34,overcast clouds
356,Sola,VU,-13.88,167.55,80.2,81,33,10.6,scattered clouds
357,Tongchuan,CN,35.08,109.09,49.62,79,100,3.58,light rain
358,Amudat,UG,1.95,34.95,72.68,61,3,2.28,clear sky
359,Minusinsk,RU,53.71,91.69,41.0,65,40,4.47,scattered clouds
360,Voh,NC,-20.97,164.7,75.27,51,100,10.78,overcast clouds
361,Caravelas,BR,-17.71,-39.25,71.1,89,79,5.55,broken clouds
362,Altay,CN,47.87,88.12,45.12,52,8,3.69,clear sky
363,Ulaangom,MN,49.98,92.07,40.44,60,0,3.31,clear sky
364,Date,JP,42.47,140.87,65.26,78,100,9.75,light rain
365,Mormugao,IN,15.4,73.8,82.4,78,75,4.7,broken clouds
366,Carauari,BR,-4.88,-66.9,71.01,93,100,0.67,overcast clouds
367,Lucea,JM,18.45,-78.17,80.6,88,40,4.7,scattered clouds
368,Bulolo,PG,-7.2,146.65,79.23,66,77,4.61,light rain
